ID,goal,enddate,startdate,coinNum,teamSize,country_region,categories,overallrating,ratingTeam,ratingProduct,platform,acceptingCurrencyNum,whitepaper,video,socialMedia,GitHub,teamLinkedIn,teamPhotos,CEOPhoto
591,Y,14-02-2018,28-12-2017,20000000,23,Thailand,"Platform,Cryptocurrency,Internet,Communication",2.7,3,3.5,NEM,5,1,1,0,0,0%,48%,1
592,N,30-04-2018,23-01-2018,1,4,Spain,"Business services,Cryptocurrency,Legal",2.3,2,2,Ethereum,3,1,1,0,0,0%,100%,0
593,Y,20-10-2017,22-09-2017,55000000,8,China,"Platform,Tourism",2.8,0,0,Ethereum,1,1,0,3,1,75%,100%,1
594,Y,22-02-2018,13-02-2018,500000000,19,British Virgin Islands,"Platform,Business services,Software,Internet",4.4,4.5,4.2,Ethereum,unknown,1,1,2,1,84%,100%,0
595,Y,10-09-2017,10-08-2017,200000000,13,USA,"Platform,Cryptocurrency",2.9,4.2,3.9,Filecoin network,4,1,1,0,0,0%,92%,0
596,Y,07-06-2018,08-05-2018,40000000,9,Gibraltar,Infrastructure,3.9,4.5,4.5,Ethereum,1,1,1,3,1,89%,100%,1
597,Y,15-03-2018,30-01-2018,10000000,8,UK,"Banking,Cryptocurrency,Smart Contract",1.8,1,1,Ethereum,2,1,1,0,0,0%,100%,0
598,Y,29-09-2016,25-08-2016,100000000,26,Slovenia,Platform,3.6,4.3,4.9,Ethereum,4,0,0,0,0,88%,100%,0
599,N,31-03-2018,01-01-2018,2000000,5,Russia,"Cryptocurrency,Manufacturing",2.2,2.1,2.3,Ethereum and Waves,6,1,1,0,0,40%,100%,0
600,Y,31-03-2018,01-03-2018,450,10,UK,Real estate,4.2,4.7,4.4,Ethereum,3,1,1,1,0,100%,100%,1
