Goal,Offering_days,Coin_Num,Team_Size,Country_Region,Category_Num,Overall_Rating,Team_Rating,Product_Rating,Platform,Accepting_Currency_Num,Whitepaper,Video,Social_Media,GitHub,Team_LinkedIn,Team_Photos,CEO_Photo
0,31.0,0,7,USA,2,1.8,0.0,0.0,1.0,1.0,0,1,0,0,1.0,1.0,0
0,43.0,0,17,Ireland,2,2.7,3.8,3.1,1.0,1.0,1,1,0,1,0.41,0.59,1
1,41.0,14000000,21,Russia,5,4.4,4.4,4.1,1.0,2.0,1,1,2,1,0.86,1.0,0
1,28.0,3141592653,9,Singapore,1,3.1,3.0,4.0,1.0,2.0,1,1,2,1,0.0,1.0,0
1,36.0,6300000000,14,UK,1,4.0,4.4,4.2,0.0,2.0,1,1,3,1,0.79,1.0,0
1,25.0,66000000,11,Switzerland,1,3.5,3.3,3.3,1.0,2.0,1,1,0,0,1.0,1.0,0
1,21.0,400000000,12,UK,3,3.6,4.3,3.2,1.0,2.0,1,1,3,1,1.0,1.0,0
1,28.0,350000000,17,Australia,1,3.4,3.0,3.0,1.0,1.0,1,1,3,0,0.12,1.0,0
1,29.0,140714286,9,Georgia,5,3.9,4.4,4.0,1.0,4.0,1,1,3,1,1.0,1.0,1
1,30.0,5500000000,6,Switzerland,1,2.8,0.0,0.0,1.0,2.0,1,0,0,0,1.0,1.0,0
0,30.0,1280000000,10,UAE,1,2.6,0.0,0.0,1.0,2.0,1,1,0,1,0.0,1.0,1
0,30.0,0,11,Gibraltar,1,2.5,3.0,2.3,1.0,2.0,1,0,0,1,0.0,1.0,0
1,77.0,10000000,9,Slovak Republic,4,2.1,0.0,0.0,1.0,1.0,1,1,0,0,0.56,1.0,0
0,15.0,0,16,India,3,2.3,0.0,0.0,1.0,1.0,1,1,0,1,0.0,0.0,0
1,7.0,52941177,10,Japan,2,2.1,0.0,0.0,1.0,1.0,1,0,0,0,0.0,1.0,0
0,67.0,318000000,10,New Caledonia,2,2.7,2.6,2.9,1.0,1.0,1,0,0,0,0.9,1.0,0
